gene_symbol	inheritance_class	LOEUF	missense	geneIds
SKI	Dom	0.194	1.51	ENSG00000157933
CAMTA1	Dom	0.172	3.26	ENSG00000171735
BRAF	Dom	0.209	3.72	ENSG00000157764
CBL	Dom	0.503	1.03	ENSG00000110395
HRAS	Dom	0.926	1.51	ENSG00000174775
KRAS	Dom	1.24	2.32	ENSG00000133703
LZTR1	Dom	1.99	0.577	ENSG00000099949
LZTR1	recessive	1.99	0.577	ENSG00000099949
MAP2K1	Dom	0.377	3.11	ENSG00000169032
MAP2K2	Dom	0.325	1.87	ENSG00000126934
MRAS	Dom	0.368	2.33	ENSG00000158186
NF1	Dom	0.29	6.54	ENSG00000196712
NRAS	Dom	0.612	1.71	ENSG00000213281
PPP1CB	Dom	0.147	4.33	ENSG00000213639
PTPN11	Dom	0.135	3.13	ENSG00000179295
RAF1	Dom	0.354	2.46	ENSG00000132155
RIT1	Dom	0.645	2.08	ENSG00000143622
RRAS2	Dom	0.264	1.78	ENSG00000133818
SHOC2	Dom	0.138	2.97	ENSG00000108061
SOS1	Dom	0.14	3.05	ENSG00000115904
SOS2	Dom	0.256	2.53	ENSG00000100485
SPRED1	Dom	0.319	1.17	ENSG00000166068
GREB1L	Dom	0.075	5.37	ENSG00000141449
TNFRSF1A	Dom	0.236	2.1	ENSG00000067182
NFIB	Dom	0.225	2.47	ENSG00000147862
HNRNPK	Dom	0.096	3.99	ENSG00000165119
SUFU	Dom	0.111	1.93	ENSG00000107882
FKBP10	recessive	0.85	0.713	ENSG00000141756
POGZ	Dom	0.119	3.51	ENSG00000143442
EP300	Dom	0.099	2.03	ENSG00000100393
RAC1	Dom	0.467	3.13	ENSG00000136238
NAA15	Dom	0.28	3.81	ENSG00000164134
TNXB	recessive	0.603	0.0433	ENSG00000168477
ZBTB18	Dom	0.179	3.43	ENSG00000179456
NOD2	Dom	1.36	-0.453	ENSG00000167207
TMCO1	recessive	1.36	1.03	ENSG00000143183
CTNNB1	Dom	0.129	3.85	ENSG00000168036
PIEZO2	recessive	0.371	3.44	ENSG00000154864
CACNA1E	Dom	0.124	5.81	ENSG00000198216
WAC	Dom	0.084	1.51	ENSG00000095787
HECW2	Dom	0.257	3.31	ENSG00000138411
MAP1B	Dom	0.133	2.51	ENSG00000131711
BCL11A	Dom	0.322	3.84	ENSG00000119866
ZNF462	Dom	0.085	3.35	ENSG00000148143
PPP1R12A	Dom	0.13	2.64	ENSG00000058272
ARID2	Dom	0.096	2.73	ENSG00000189079
OXCT1	recessive	0.541	2.57	ENSG00000083720
SPTBN4	recessive	0.191	3.93	ENSG00000160460
ASH1L	Dom	0.062	3.47	ENSG00000116539
AMER1	recessive	0.371	-0.569	ENSG00000184675
IFIH1	Dom	1.55	-0.789	ENSG00000115267
GATAD2B	Dom	0.097	3.16	ENSG00000143614
ADNP	Dom	0.123	2.07	ENSG00000101126
SPG11	recessive	0.812	-1.39	ENSG00000104133
SON	Dom	0.118	1.54	ENSG00000159140
MED13L	Dom	0.064	3.69	ENSG00000123066
ALDH7A1	recessive	1.24	0.368	ENSG00000164904
USP7	Dom	0.061	5.65	ENSG00000187555
WDR62	recessive	0.859	0.667	ENSG00000075702
VPS13D	recessive	0.332	2.5	ENSG00000048707
DEGS1	recessive	0.779	0.805	ENSG00000143753
TCF20	Dom	0.095	0.0895	ENSG00000100207
TOR1A	Dom	1.06	0.535	ENSG00000136827
